, Exchange,sum_x,count,sum_y,improvement_off_NBBO,width
16,PINK,0.0599999999998601,8,6100,9.836065573747558e-06,0.0
5,CHX,2.0300000000002143,6,303,0.006699669966997407,0.0
14,NYSENAT,153.44000000000042,166,10922,0.014048709027650652,0.002
17,PSX,395.1400000000027,233,22763,0.017358871853446502,0.006
1,ARCA,6658.744999999977,1991,292027,0.022801812846072373,0.102
2,BATS,2275.434999999997,1241,97646,0.023302900272412563,0.035
13,NYSE,21880.404999999893,5351,748422,0.02923538458249476,0.334
10,ISLAND,11086.109999999997,3148,346288,0.032014132744998376,0.169
15,PEARL,473.34999999999917,137,13296,0.03560093261131161,0.007
3,BEX,550.4899999999894,180,15253,0.0360906051268596,0.008
9,IEX,3097.4349999999563,1004,84919,0.0364751704565522,0.047
12,MEMX,2755.829999999994,577,73825,0.03732922451743981,0.042
7,EDGEA,567.6949999999962,326,14237,0.03987462246259719,0.009
8,FINRA,65514.17609999966,10697,1603386,0.04085989031961091,1.0
4,BYX,968.7649999999944,311,23369,0.0414551328683296,0.015
6,DRCTEDGE,11813.01999999998,2380,265543,0.044486279058382185,0.18
0,AMEX,1315.2799999999972,122,12458,0.10557713918767035,0.02
11,LTSE,71.99999999999989,1,100,0.7199999999999989,0.001
